ID,Building ID,Final Clean UBI
286,1620667,06750832
287,1641990,01260852
288,1649511,00240871
289,1657117,01660038
290,1675389,01970855
291,1707265,01270053
292,1707454,06310017
293,1711353,16610817
294,1717883,01370059
295,1720876,04560040
296,1733119,00250021
297,1733134,01000897
298,1749204,16600812
299,1769596,04030838
300,1769597,04030837
301,1773213,06720246
302,1774495,01820828
303,1774496,18230009
304,1784866,03430025
305,1787720,03270840
307,1811655,03470022
308,1852852,06250060
309,1856025,02140102
310,1865876,01690071
311,1873494,01980845
312,1960203,07200824
313,1960252,07200825
314,1984865,01170075
315,1997814,01150084
316,2008126,04870017
317,2008136,38400023
318,2008147,37000045
319,2015806,01650028
320,2028126,06770142
321,2035970,02530068
322,2222721,04590019
323,2223689,02220814
324,2226415,18020024
325,2236387,01050844
326,2256771,01810161
327,2256973,01270843
328,2256994,16660804
329,2265015,00770060
330,2265100,00420055
331,2266003,00800056
332,2266039,00560030
333,2266081,00770059
334,2266110,00410040
335,2285518,01150085
336,2292586,01010062
337,2293694,00570056
338,2296874,01020046
339,2362274,01640036
340,2364583,01390074
341,2371512,03430830
342,2371586,15990024
343,2371594,12990991
344,2381169,00680088
345,2436752,01820830
346,2436754,00860042
347,2440460,11872382
348,2451324,01050843
349,2482515,08090711
350,2494497,13740850
351,2497109,05370812
352,2497113,05370813
353,2511662,04550839
354,2528890,00780039
355,2534176,11730820
356,2539114,02250803
357,2555583,03220021
358,2590105,05420827
359,2590124,00850844
360,2590129,11900078
361,2590132,11900842
362,2590139,08000029
363,2616439,01610039
364,2643783,21320029
365,2654928,N/A(InVA)
366,2654948,00510079
367,2654957,11890088
368,2654964,0710E0014
369,2656301,00360048
370,2675356,04557001
371,2681078,07200826
372,2683077,00240113
373,2686138,04520032
374,2690684,01020046
375,2690736,01020046
376,2701797,03170841
377,2709209,01020046
378,2722082,06740853
379,2728715,05680043
380,2730803,04070025
381,2736239,05160057
382,2745306,02900861
383,2774064,02530847
384,2774635,02140105
385,2776163,20490804
386,2785109,12991027
387,2785139,12991026
388,2786219,03480832
389,2802906,18050800
390,2804132,04580022
391,2807339,0516S0035
392,2809459,00240886
393,2865340,00260011
394,2865342,51400088
395,2865344,26720888
396,2865350,07490067
397,2865352,50580008
398,2865354,04910034
399,2865356,29000044
400,2865358,02360067
401,2874425,00540030
402,2896787,01260059
403,2945494,01610032
404,2951555,00540841
405,2957218,12000868
406,2962687,01620101
407,2977958,55600055
408,2986561,26740721
409,2996442,14990806
410,3016235,01260061
411,3025626,01270040
412,3072203,02677081
413,3072252,19230064
414,3075466,19300077
415,3075531,25530073
416,3081163,03200028
417,3122341,06660015
418,3181352,07380028
419,3184194,06950818
420,3185754,00270820
421,3186450,19190035
422,3205476,31290801
423,3220077,01680051
424,3221022,04562063
425,3229557,00760091
426,3229646,01830879
427,3231831,01650026
428,3248582,00080806
429,3253388,26880043
430,3259832,19773012
431,3262071,04530002
432,3262099,08590177
433,3267015,06750850
434,3267016,05690080
435,3267017,01590084
436,3268854,01660042
437,3273657,07510013
438,3274029,03190864
439,3281658,1092S0020
440,3283449,03460805
441,3283514,05630016
442,3286246,59260003
443,3289310,00780039
444,3298250,28481848
445,3298382,36300808
446,3298446,36300807
447,3306993,11910072
448,3314944,50570803
449,3315716,01620096
450,3315781,01610039
451,3316372,58690068
452,3330701,26330829
453,3332403,22050839
454,3332403,22050839
455,3333296,22250842
456,3333321,21320827
457,3333326,20490806
458,3335507,06280169
459,3336808,00310837
460,3336872,11842624
461,3336884,18050802
462,3350185,04682265
463,3350280,01170078
464,3353093,02732706
465,3353543,06720860
466,3353545,03870866
467,3353558,12991027
468,3353559,12991026
469,3354050,01640003
470,3358048,33590048
471,3361435,00172007
472,3362197,06310017
473,3372033,19720001
474,3394466,00971051
475,3402383,02190018
476,3411637,03900053
477,3417499,02100127
478,3419535,21061085
479,3419984,0699N0023
480,3421706,25350041
481,3425601,25411133
482,3426348,04080837
483,3426427,05400110
484,3426697,21380812
485,3430106,04842714
486,3435335,02480830
488,3448441,00080808
489,3448576,02170051
490,3466549,00050085
491,3467992,27940899
492,3468298,04440810
493,3468516,43590834
494,3470657,22340003
495,3470676,43650032
496,3470720,43710001
497,3470735,18690825
498,3472208,00850830
499,3472298,02352851
500,3472399,22140806
501,3472542,05740024
502,3473679,00850843
503,3473953,00850061
504,3474408,02200064
505,3475570,00713159
506,3475610,01170879
507,3480699,01880072
508,3481081,38540801
509,3481129,04640026
510,3483049,16000001
511,3485106,00080812
512,3485321,01042025
513,3487836,03430023
514,3487951,02830050
515,3488051,01960832
516,3488104,00250808
517,3488404,00860084
518,3489461,04230018
519,3489954,03582762
520,3490937,17981066
521,3491858,03692805
522,3493024,04650096
523,3493385,22140001
524,3493497,18573004
525,3494803,19730804
526,3495308,PAR01330131
527,3495558,02420093
528,3495624,01570867
529,3495768,19730022
530,3496501,12220062
531,3496621,12220062
532,3496646,41630004
533,3496677,12220062
534,3496717,12220062
535,3496730,12220062
536,3496780,12220062
537,3496813,01610030
538,3496816,12220062
539,3497170,12220062
540,3497717,12220062
541,3498155,01620822
542,3498654,05152875
543,3499503,01580078
544,3499875,00280893
545,3499932,01400094
546,3500007,00330087
547,3500037,01170079
548,3500256,21320033
549,3500380,25810471
550,3500398,25810448
551,3500426,02802253
552,3500430,58710869
553,3500466,01160077
554,3500581,21070821
555,3500589,15790010
556,3500721,12220062
557,3500919,19290014
558,3500928,19810012
559,3500929,01340825
560,3500930,20460002
561,3500944,00990049
562,3501158,02500051
563,3501273,12220062
564,3501303,04553075
565,3501305,01000120
566,3501606,05030116
567,3501692,01562138
568,3501723,18020815
569,3502246,01700039
570,3502417,02460806
571,3502509,12220062
572,3502542,06280891
573,3502821,22250844
574,3503081,05360053
575,3503353,18690036
